Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Gent;stad;Oost-Vlaanderen;156,18;268.122;Gent, Mariakerke, Drongen, Wondelgem, Sint-Amandsberg, Oostakker, Desteldonk, Mendonk, Sint-Kruis-Winkel, Gentbrugge, Ledeberg, Afsnee, Sint-Denijs-Westrem, Zwijnaarde;path15
Geraardsbergen;stad;Oost-Vlaanderen;79,71;34.724;Geraardsbergen, Goeferdinge, Moerbeke, Nederboelare, Onkerzele, Ophasselt, Overboelare, Viane, Zarlardinge, Grimminge, Idegem, Nieuwenhove, Schendelbeke, Smeerebbe-Vloerzegem, Waarbeke, Zandbergen;path60
Gingelom;gem.;Limburg;56,49;8.670;Gingelom, Boekhout, Jeuk, Kortijs, Montenaken, Niel-bij-Sint-Truiden, Vorsen, Borlo, Buvingen, Mielen-boven-Aalst, Muizen;path239
Gistel;stad;West-Vlaanderen;42,25;12.265;Gistel, Moere, Snaaskerke, Zevekote;path73
Glabbeek;gem.;Vlaams-Brabant;26,78;5.426;Bunsbeek, Glabbeek-Zuurbemde, Kapellen, Attenrode;path281
Gooik;gem.;Vlaams-Brabant;39,7;9.428;Gooik, Kester, Leerbeek, Oetingen;path302
Grimbergen;gem.;Vlaams-Brabant;38,59;39.368;Grimbergen, Humbeek, Beigem, Strombeek-Bever;path256
Grobbendonk;gem.;Antwerpen;28,36;11.519;Grobbendonk, Bouwel;path179
Haacht;gem.;Vlaams-Brabant;30,57;15.425;Haacht, Tildonk, Wespelaar;path246
Haaltert;gem.;Oost-Vlaanderen;30,3;19.281;Haaltert, Denderhoutem, Heldergem, Kerksken;path55
Halen;stad;Limburg;36,29;9.557;Halen, Loksbergen, Zelem;path223
Halle;stad;Vlaams-Brabant;44,4;42.047;Halle, Buizingen, Lembeek;path305
Ham;gem.;Limburg;32,69;11.337;Kwaadmechelen, Oostham;path218
Hamme;gem.;Oost-Vlaanderen;40,21;25.368;Hamme, Moerzeke;path31
Hamont-Achel;stad;Limburg;43,66;14.458;Achel, Hamont;path202
Harelbeke;stad;West-Vlaanderen;29,14;29.574;Harelbeke, Bavikhove, Hulste;path116
Hasselt;stad;Limburg;102,24;80.351;Hasselt, Sint-Lambrechts-Herk, Wimmertingen, Kermt, Spalbeek, Kuringen, Stokrooie, Stevoort;path226
Hechtel-Eksel;gem.;Limburg;76,7;12.914;Hechtel, Eksel;path206
Heers;gem.;Limburg;53,07;7.554;Heers, Batsheers, Gutschoven, Heks, Horpmaal, Klein-Gelmen, Mechelen-Bovelingen, Mettekoven, Opheers, Rukkelingen-Loon, Vechmaal, Veulen;path238
Heist-op-den-Berg;gem.;Antwerpen;86,46;44.226;Heist-op-den-Berg, Hallaar, Booischot, Itegem, Wiekevorst, Schriek;path190
Hemiksem;gem.;Antwerpen;5,44;12.105;Hemiksem;path164
Herent;gem.;Vlaams-Brabant;32,73;22.723;Herent, Veltem-Beisem, Winksele;path292
Herentals;stad;Antwerpen;48,56;28.575;Herentals, Morkhoven, Noorderwijk;path159
Herenthout;gem.;Antwerpen;23,55;9.417;Herenthout;path180
Herk-de-Stad;stad;Limburg;42,83;12.817;Herk-de-Stad, Berbroek, Donk, Schulen;path225
Herne;gem.;Vlaams-Brabant;44,63;6.763;Herne, Herfelingen, Sint-Pieters-Kapelle;path303
Herselt;gem.;Antwerpen;52,32;14.805;Herselt, Ramsel;path196
Herstappe;gem.[3];Limburg;1,35;77;Herstappe;path241
Herzele;gem.;Oost-Vlaanderen;47,4;18.715;Herzele, Hillegem, Sint-Antelinks, Sint-Lievens-Esse, Steenhuize-Wijnhuize, Woubrechtegem, Ressegem, Borsbeke;path53
Heusden-Zolder;gem.;Limburg;53,23;34.623;Heusden, Zolder;path219
Heuvelland;gem.;West-Vlaanderen;94,24;7.958;Nieuwkerke, Dranouter, Wulvergem, Wijtschate, Westouter, Kemmel, Loker;path97
Hoegaarden;gem.;Vlaams-Brabant;33,93;6.797;Hoegaarden, Meldert, Outgaarden;path283
Hoeilaart;gem.;Vlaams-Brabant;20,43;11.537;Hoeilaart;path310
Hoeselt;gem.;Limburg;30,02;9.921;Hoeselt, Romershoven, Sint-Huibrechts-Hern, Werm, Schalkhoven;path233
Holsbeek;gem.;Vlaams-Brabant;38,5;10.158;Holsbeek, Kortrijk-Dutsel, Sint-Pieters-Rode, Nieuwrode;path263
Hooglede;gem.;West-Vlaanderen;37,84;10.142;Hooglede, Gits;path93
Hoogstraten;stad;Antwerpen;105,32;22.245;Hoogstraten, Meer, Minderhout, Wortel, Meerle;path134
Horebeke;gem.;Oost-Vlaanderen;11,2;2.036;Sint-Kornelis-Horebeke, Sint-Maria-Horebeke;path50
Houthalen-Helchteren;gem.;Limburg;78,27;30.960;Helchteren, Houthalen;path213
Houthulst;gem.;West-Vlaanderen;55,89;10.332;Houthulst, Klerken, Merkem;path81
Hove;gem.;Antwerpen;5,99;8.444;Hove;path172
Huldenberg;gem.;Vlaams-Brabant;39,64;10.080;Huldenberg, Loonbeek, Neerijse, Ottenburg, Sint-Agatha-Rode;path275
Hulshout;gem.;Antwerpen;17,35;10.564;Hulshout, Houtvenne, Westmeerbeek;path194
