Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
La Louvière;stad;Henegouwen;64,24;80.430;La Louvière, Haine-Saint-Paul, Haine-Saint-Pierre, Saint-Vaast, Trivières, Boussoit, Houdeng-Aimeries, Houdeng-Gœgnies, Maurage, Strépy-Bracquegnies;path347
La Roche-en-Ardenne;stad;Luxemburg;147,52;4.189;La Roche-en-Ardenne, Beausaint, Samrée, Ortho, Hives, Halleux;path548
Lasne;gem.;Waals-Brabant;47,22;14.133;Couture-Saint-Germain, Lasne-Chapelle-Saint-Lambert, Maransart, Ohain, Plancenoit;path408
Léglise;gem.;Luxemburg;172,92;5.180;Léglise, Assenois, Ébly, Mellier, Witry;path567
Lens;gem.;Henegouwen;49,42;4.384;Lens, Bauffe, Cambron-Saint-Vincent, Lombise, Montignies-lez-Lens;path344
Le Rœulx;stad;Henegouwen;42,8;8.472;Le Rœulx, Gottignies, Mignault, Thieu, Ville-sur-Haine;path346
Les Bons Villers;gem.;Henegouwen;42,55;9.367;Frasnes-lez-Gosselies, Rèves, Villers-Perwin, Wayaux, Mellet;path338
Lessen (Lessines);stad;Henegouwen;72,29;18.610;Lessen, Papegem, Wannebecq, Ogy, Ghoy, Twee-Akren, Lessenbos, Woelingen;path289
Leuze-en-Hainaut;stad;Henegouwen;73,53;13.699;Leuze-en-Hainaut, Grandmetz, Thieulain, Blicquy, Chapelle-à-Oie, Chapelle-à-Wattines, Pipaix, Tourpes, Willaupuis, Gallaix;path341
Libin;gem.;Luxemburg;139,72;5.069;Libin, Anloy, Ochamps, Redu, Smuid, Transinne, Villance;path562
Libramont-Chevigny;gem.;Luxemburg;177,86;11.088;Bras, Freux, Libramont, Moircy, Recogne, Remagne, Sainte-Marie-Chevigny, Saint-Pierre;path563
Lierneux;gem.;Luik;92,08;3.584;Lierneux, Arbrefontaine, Bra;path536
Limburg (Limbourg);stad;Luik;24,63;5.976;Limburg, Bilstain, Gulke;path509
Lijsem (Lincent);gem.;Luik;14,75;3.281;Lijsem, Pellen, Raatshoven;path458
Lobbes;gem.;Henegouwen;32,08;5.707;Lobbes, Mont-Sainte-Geneviève, Sars-la-Buissière, Bienne-lez-Happart;path387
Lontzen;gem.;Luik;28,73;5.656;Lontzen, Walhorn;path491
Luik (Liège);stad;Luik;69,39;196.970;Luik, Glain, Rocourt, Bressoux, Jupille-sur-Meuse, Wandre, Grivegnée, Angleur, Chênée;path485
Malmedy;stad;Luik;99,96;12.415;Malmedy, Bellevaux-Ligneuville, Bévercé;path533
Manage;gem.;Henegouwen;19,68;23.053;Manage, Bellecourt, Bois-d'Haine, Fayt-lez-Manage, La Hestre;path348
Manhay;gem.;Luxemburg;119,81;3.380;Dochamps, Grandmenil, Harre, Malempré, Odeigne, Vaux-Chavanne;path544
Marche-en-Famenne;stad;Luxemburg;121,4;17.415;Marche-en-Famenne, Aye, Hargimont, Humain, On, Roy, Waha;path550
Marchin;gem.;Luik;30;5.421;Marchin, Vyle-et-Tharoul;path514
Martelange;gem.;Luxemburg;29,67;1.767;Martelange;path568
Meix-devant-Virton;gem.;Luxemburg;54,2;2.791;Meix-devant-Virton, Gérouville, Robelmont, Sommethonne, Villers-la-Loue;path579
Merbes-le-Château;gem.;Henegouwen;30,24;4.279;Merbes-le-Château, Fontaine-Valmont, Labuissière, Merbes-Sainte-Marie;path386
Messancy;gem.;Luxemburg;52,43;8.082;Messancy, Hondelange, Wolkrange, Sélange, Habergy;path584
Mettet;gem.;Namen;116,78;12.898;Mettet, Biesme, Biesmerée, Graux, Oret, Saint-Gérard, Furnaux, Ermeton-sur-Biert, Stave;path435
Modave;gem.;Luik;40,37;4.163;Modave, Outrelouxhe, Strée, Vierset-Barse;path515
Moeskroen (Mouscron);stad;Henegouwen;40,08;57.391;Moeskroen, Lowingen, Dottenijs, Herzeeuw;path126
Momignies;gem.;Henegouwen;85,58;5.339;Momignies, Macon, Monceau-Imbrechies, Macquenoise, Beauwelz, Forge-Philippe, Seloignes;path392
Mont-de-l'Enclus;gem.;Henegouwen;26,93;3.710;Amougies, Anserœul, Orroir, Rozenaken;path260
Montigny-le-Tilleul;gem.;Henegouwen;15,1;10.095;Montigny-le-Tilleul, Landelies;path370
Mont-Saint-Guibert;gem.;Waals-Brabant;18,63;7.364;Mont-Saint-Guibert, Korbeek, Hévillers;path416
Morlanwelz;gem.;Henegouwen;20,26;19.097;Morlanwelz-Mariemont, Carnières, Mont-Sainte-Aldegonde;path367
Musson;gem.;Luxemburg;34,81;4.482;Musson, Mussy-la-Ville;path583
Namen (Namur);stad;Namen;175,69;110.632;Namen, Beez, Belgrade, Saint-Servais, Saint-Marc, Bouge, Champion, Daussoulx, Flawinne, Malonne, Suarlée, Temploux, Vedrin, Boninne, Cognelée, Gelbressée, Marche-les-Dames, Dave, Jambes, Naninne, Wépion, Wierde, Erpent, Lives-sur-Meuse, Loyers;path426
Nandrin;gem.;Luik;35,9;5.840;Nandrin, Saint-Séverin, Villers-le-Temple, Yernée-Fraineux;path517
Nassogne;gem.;Luxemburg;111,96;5.407;Nassogne, Harsin, Bande, Grune, Ambly, Forrières, Lesterny, Masbourg;path551
Neufchâteau;stad;Luxemburg;113,79;7.488;Neufchâteau, Grandvoir, Grapfontaine, Hamipré, Longlier, Tournay;path566
Neupré;gem.;Luik;31,69;9.975;Éhein, Rotheux-Rimière, Neuville-en-Condroz, Plainevaux;path523
Nijvel (Nivelles);stad;Waals-Brabant;60,6;28.027;Nijvel, Monstreux, Baulers, Thines, Bornival;path406
Oerle (Oreye);gem.;Luik;19,64;3.853;Oerle, Bergilers, Grandville, Lens-sur-Geer, Wouteringen;path463
Ohey;gem.;Namen;56,62;5.016;Ohey, Évelette, Haillot, Perwez, Goesnes, Jallet;path434
Olne;gem.;Luik;15,99;3.954;Olne;path505
Onhaye;gem.;Namen;65,53;3.164;Onhaye, Anthée, Serville, Falaën, Sommière, Weillen, Gerin;path444
Opzullik (Silly);gem.;Henegouwen;67,68;8.353;Opzullik, Fouleng, Gondregnies, Graty, Hellebecq, Hove, Thoricourt, Zullik;path307
Orp-Jauche;gem.;Waals-Brabant;50,5;8.756;Énines, Folx-les-Caves, Jandrain-Jandrenouille, Geten, Marilles, Noduwez, Orp-le-Grand;path412
Ottignies-Louvain-la-Neuve;stad;Waals-Brabant;29,43;31.562;Ottignies, Céroux-Mousty, Limelette;path409
Ouffet;gem.;Luik;40,22;2.803;Ouffet, Ellemelle, Warzée;path519
Oupeye;gem.;Luik;36,11;24.772;Oupeye, Hermée, Hermalle-sous-Argenteau, Heure-le-Romain, Houtain-Saint-Siméon, Vivegnis, Haccourt;path469
Paliseul;gem.;Luxemburg;112,96;5.305;Paliseul, Carlsbourg, Offagne, Nollevaux, Maissin, Opont, Framont, Fays-les-Veneurs;path564
Pecq;gem.;Henegouwen;32,91;5.598;Pecq, Warcoing, Hérinnes, Esquelmes, Obigies;path183
Pepinster;gem.;Luik;24,79;9.703;Pepinster, Cornesse, Wegnez, Soiron;path506
Péruwelz;stad;Henegouwen;60,56;17.132;Péruwelz, Roucourt, Bury, Bon-Secours, Baugnies, Braffe, Brasménil, Callenelle, Wasmes-Audemez-Briffœil, Wiers;path360
Perwijs (Perwez);gem.;Waals-Brabant;50,81;9.173;Perwijs, Malèves-Sainte-Marie-Wastines, Orbais, Thorembais-les-Béguines, Thorembais-Saint-Trond;path414
Philippeville;stad;Namen;156,71;9.194;Philippeville, Fagnolle, Franchimont, Jamagne, Jamiolle, Merlemont, Neuville, Omezée, Roly, Romedenne, Samart, Sart-en-Fagne, Sautour, Surice, Villers-en-Fagne, Villers-le-Gambon, Vodecée;path453
Plombières;gem.;Luik;53,17;10.279;Montzen, Moresnet, Gemmenich, Sippenaeken, Homburg;path473
Pont-à-Celles;gem.;Henegouwen;55,73;17.093;Pont-à-Celles, Buzet, Obaix, Thiméon, Viesville, Liberchies, Luttre;path337
Profondeville;gem.;Namen;50,34;12.109;Profondeville, Arbre, Bois-de-Villers, Lesve, Lustin, Rivière;path431
Quaregnon;gem.;Henegouwen;11,08;19.086;Quaregnon, Wasmuel;path380
Quévy;gem.;Henegouwen;65,16;8.122;Asquillies, Aulnois, Blaregnies, Bougnies, Genly, Gœgnies-Chaussée, Quévy-le-Grand, Quévy-le-Petit, Givry, Havay;path383
Quiévrain;gem.;Henegouwen;21,22;6.715;Quiévrain, Baisieux, Audregnies;path376
Raeren;gem.;Luik;74,21;10.552;Raeren, Hauset, Eynatten;path475
Ramillies;gem.;Waals-Brabant;48,68;6.293;Autre-Église, Bomal, Geest-Gérompont-Petit-Rosière, Grand-Rosière-Hottomont, Huppaye, Mont-Saint-André, Ramillies-Offus;path413
Rebecq;gem.;Waals-Brabant;39,08;10.939;Bierk, Roosbeek, Quenast;path393
Remicourt;gem.;Luik;22,58;5.906;Remicourt, Lamine, Momalle, Pousset, Hodeige;path481
Rendeux;gem.;Luxemburg;68,83;2.576;Rendeux, Beffe, Hodister, Marcourt;path547
Rixensart;gem.;Waals-Brabant;17,54;22.128;Rixensart, Rosières, Genval;path399
Rochefort;stad;Namen;165,27;12.540;Rochefort, Ave-et-Auffe, Buissonville, Éprave, Han-sur-Lesse, Jemelle, Lavaux-Sainte-Anne, Lessive, Mont-Gauthier, Villers-sur-Lesse, Wavreille;path447
Rouvroy;gem.;Luxemburg;27,68;2.094;Rouvroy, Dampicourt, Harnoncourt, Lamorteau, Torgny;path580
Rumes;gem.;Henegouwen;23,72;5.174;Rumes, La Glanerie, Taintignies;path357
Sainte-Ode;gem.;Luxemburg;97,87;2.495;Amberloup, Tillet, Lavacherie;path558
Saint-Georges-sur-Meuse;gem.;Luik;20,9;6.582;Saint-Georges-sur-Meuse;path497
Saint-Ghislain;stad;Henegouwen;70,18;23.085;Saint-Ghislain, Baudour, Neufmaison, Sirault, Tertre, Hautrage, Villerot;path363
Saint-Hubert;stad;Luxemburg;111,16;5.553;Saint-Hubert, Arville, Awenne, Hatrival, Mirwart, Vesqueville;path557
Saint-Léger;gem.;Luxemburg;35,86;3.532;Saint-Léger, Châtillon, Meix-le-Tige;path582
Saint-Nicolas;gem.;Luik;6,84;24.078;Saint-Nicolas, Montegnée, Tilleur;path484
Sankt Vith (Saint-Vith);stad;Luik;146,93;9.637;Sankt Vith, Recht, Schönberg, Lommersweiler, Crombach;path539
Sambreville;gem.;Namen;34,2;27.887;Arsimont, Auvelais, Falisolle, Keumiée, Moignelée, Tamines, Velaine;path424
Seneffe;gem.;Henegouwen;62,77;11.027;Seneffe, Arquennes, Familleureux, Feluy, Petit-Rœulx-lez-Nivelles;path336
Seraing;stad;Luik;35,34;64.172;Seraing, Boncelles, Jemeppe-sur-Meuse, Ougrée;path499
Sivry-Rance;gem.;Henegouwen;72,97;4.848;Grandrieu, Montbliart, Rance, Sautin, Sivry;path389
Sombreffe;gem.;Namen;35,78;8.388;Sombreffe, Boignée, Ligny, Tongrinne;path420
Somme-Leuze;gem.;Namen;95,09;5.411;Somme-Leuze, Baillonville, Bonsin, Heure, Hogne, Nettinne, Noiseux, Sinsin, Waillet;path441
Soumagne;gem.;Luik;27,14;16.662;Soumagne, Ayeneux, Micheroux, Évegnée-Tignée, Cerexhe-Heuseux, Melen;path502
Spa;gem.;Luik;39,85;10.415;Spa;path528
Sprimont;gem.;Luik;74,28;14.417;Sprimont, Dolembreux, Gomzé-Andoumont, Rouvreux, Louveigné;path525
Stavelot;stad;Luik;85,07;7.174;Stavelot, Francorchamps;path532
Stoumont;gem.;Luik;108,45;3.113;Stoumont, Chevron, La Gleize, Lorcé, Rahier;path531
Tellin;gem.;Luxemburg;56,64;2.460;Tellin, Bure, Grupont, Resteigne;path556
Tenneville;gem.;Luxemburg;91,81;2.789;Tenneville, Champlon, Erneuville;path552
Terhulpen (La Hulpe);gem.;Waals-Brabant;15,6;7.368;Terhulpen;path398
Theux;gem.;Luik;83,36;12.092;Theux, La Reid, Polleur;path526
Thimister-Clermont;gem.;Luik;28,69;5.698;Clermont, Thimister;path489
Thuin;stad;Henegouwen;76,17;14.494;Thuin, Leers-et-Fosteau, Biesme-sous-Thuin, Ragnies, Biercée, Gozée, Donstiennes, Thuillies;path371
Tinlot;gem.;Luik;37,12;2.656;Abée, Fraiture, Ramelot, Seny, Soheit-Tinlot;path516
Tintigny;gem.;Luxemburg;81,79;4.255;Tintigny, Bellefontaine, Rossignol, Saint-Vincent;path573
Trois-Ponts;gem.;Luik;68,9;2.502;Fosse, Wanne, Basse-Bodeux;path537
Trooz;gem.;Luik;24,2;8.215;Fôret, Fraipont, Nessonvaux;path504
Tubeke (Tubize);stad;Waals-Brabant;32,66;25.424;Tubeke, Klabbeek, Oostkerk, Sint-Renelde;path394
Vaux-sur-Sûre;gem.;Luxemburg;135,87;5.502;Hompré, Morhet, Nives, Sibret, Vaux-lez-Rosières, Juseret;path559
Verlaine;gem.;Luik;24,21;4.122;Verlaine, Chapon-Seraing, Seraing-le-Château;path496
Verviers;stad;Luik;33,07;55.177;Verviers, Ensival, Lambermont, Petit-Rechain, Stembert, Heusy;path507
Vielsalm;gem.;Luxemburg;139,76;7.689;Vielsalm, Bihain, Petit-Thier, Grand-Halleux;path545
Villers-la-Ville;gem.;Waals-Brabant;47,45;10.498;Villers-la-Ville, Marbais, Mellery, Sart-Dames-Avelines, Tilly;path418
Villers-le-Bouillet;gem.;Luik;32,71;6.510;Villers-le-Bouillet, Fize-Fontaine, Vaux-et-Borset, Vieux-Waleffe, Warnant-Dreye;path495
Viroinval;gem.;Namen;120,9;5.806;Dourbes, Le Mesnil (België), Mazée, Nismes, Oignies-en-Thiérache, Olloy-sur-Viroin, Treignes, Vierves-sur-Viroin;path457
Virton;stad;Luxemburg;94,49;11.389;Virton, Bleid, Ethe, Ruette, Latour, Saint-Mard;path581
Vloesberg (Flobecq);gem.;Henegouwen;23;3.443;Vloesberg;path288
Vresse-sur-Semois;gem.;Namen;101,04;2.650;Alle, Bagimont, Bohan, Chairière, Laforêt, Membre, Mouzaive, Nafraiture, Orchimont, Pussemange, Sugny, Vresse;path451
Walcourt;stad;Namen;123,18;18.390;Walcourt, Castillon, Chastrès, Clermont, Fontenelle, Fraire, Pry, Vogenée, Yves-Gomezée, Berzée, Gourdinne, Laneffe, Rognée, Somzée, Tarcienne, Thy-le-Château;path442
Walhain;gem.;Waals-Brabant;37,94;6.997;Nil-Saint-Vincent-Saint-Martin, Tourinnes-Saint-Lambert, Walhain-Saint-Paul;path415
Wanze;gem.;Luik;43,95;13.626;Wanze, Antheit, Bas-Oha, Huccorgne, Moha, Vinalmont;path494
Wasseiges;gem.;Luik;24,45;2.844;Wasseiges, Acosse, Ambresin, Meeffe;path477
Waterloo;gem.;Waals-Brabant;21,03;29.794;Waterloo;path397
Waver (Wavre);stad;Waals-Brabant;41,8;33.806;Waver, Limal, Bierges;path400
Weismes (Waimes);gem.;Luik;96,93;7.461;Weismes, Faymonville, Robertville;path534
Welkenraedt;gem.;Luik;24,47;9.809;Welkenraedt, Hendrik-Kapelle;path490
Wellin;gem.;Luxemburg;67,52;3.027;Wellin, Sohier, Chanly, Halma, Lomprez;path555
Wezet (Visé);stad;Luik;27,99;17.748;Wezet, Ternaaien, Lieze, Richelle, Argenteau, Cheratte;path470
Yvoir;gem.;Namen;56,84;9.126;Yvoir, Dorinne, Durnal, Évrehailles, Godinne, Houx, Mont, Purnode, Spontin;path437
Zinnik (Soignies);stad;Henegouwen;110,3;27.257;Zinnik, Horrues, Casteau, Thieusies, Naast, Chaussée-Notre-Dame-Louvignies, Neufvilles;path345
